Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB▼,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
207,Heinie Meine,33,PIT,22,44,39,6,4,1,1,0,5,0,0,2,1,.103,.146,.179,.326,-21,7,,0,3,,0,1,meinehe01
208,Elmer Miller*,26,PHI,31,39,38,3,9,1,0,1,4,0,0,1,5,.237,.256,.342,.599,43,13,,0,0,,0,H/19,milleel02
209,John Milligan,25,PHI,8,3,3,0,1,0,0,0,1,0,0,0,0,.333,.333,.333,.667,62,1,,0,0,,0,/1,millijo02
210,Cy Moore,24,BRO,32,19,16,1,3,0,0,0,0,0,0,1,1,.188,.235,.188,.423,7,3,,0,1,,0,1,moorecy01
211,Johnny Moore*,27,CHC,37,69,63,13,18,1,0,2,8,0,0,4,6,.286,.338,.397,.735,81,25,,1,1,,0,H7/89,moorejo01
212,Johnny Morrison,33,BRO,39,46,43,5,7,0,0,0,0,0,0,2,6,.163,.200,.163,.363,-8,7,,0,1,,0,1,morrijo04
213,Jim Mosolf*,23,PIT,8,14,13,3,6,1,1,0,2,0,0,1,1,.462,.500,.692,1.192,189,9,,0,0,,0,/H7,mosolji01
214,Ray Moss,27,BRO,42,73,66,9,5,1,0,0,3,0,0,4,17,.076,.141,.091,.232,-41,6,,1,2,,0,1/H,mossra01
215,Art Nehf*,36,CHC,32,51,45,3,13,3,0,0,5,0,0,5,3,.289,.360,.356,.716,78,16,,0,1,,0,1,nehfar01
216,Bobo Newsom,21,BRO,3,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,0,/1,newsobo01
217,John O'Connell,25,PIT,2,8,7,1,1,1,0,0,0,0,0,1,1,.143,.250,.286,.536,31,2,,0,0,,0,/2,o'conjo03
218,Joe O'Rourke*,24,PHI,3,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,0,/H,o'roujo02
219,Bob Osborn,26,CHC,3,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,24,1,,0,0,,0,/1,osborbo01
220,Roy Parmelee,22,NYG,2,2,2,1,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,149,1,,0,0,,0,/1,parmero01
221,Jimmy Pattison*,20,BRO,6,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,151,1,,0,0,,0,/1,pattiji01
222,Red Peery*,22,BSN,10,17,14,3,3,0,0,0,2,0,0,3,5,.214,.353,.214,.567,47,3,,0,0,,0,/1H,peeryre01
223,Ken Penner*,33,CHC,5,4,4,0,1,0,0,0,1,0,0,0,1,.250,.250,.250,.500,24,1,,0,0,,0,/1,penneke01
224,Henry Peploski*,23,BSN,6,12,10,1,2,0,0,0,1,0,0,1,3,.200,.273,.200,.473,22,2,,0,1,,0,/H5,peplohe01
225,Jesse Petty,34,PIT,36,69,67,2,7,1,0,0,6,0,0,1,17,.104,.118,.119,.237,-42,8,,0,1,,0,1,pettyje01
226,Billy Rhiel,28,BRO,76,228,205,27,57,9,4,4,25,0,1,19,25,.278,.339,.420,.759,88,86,,0,4,,1,4H/56,rhielbi01
227,Harry Riconda,32,PIT,8,17,15,3,7,2,0,0,2,0,1,0,0,.467,.467,.600,1.067,159,9,,0,2,,0,/H6,riconha01
228,Eppa Rixey,38,CIN,35,71,65,2,15,1,0,0,1,0,0,1,13,.231,.242,.246,.489,24,16,,0,5,,0,1,rixeyep01
229,Wally Roettger,26,STL,79,289,269,27,68,11,3,3,42,0,1,13,27,.253,.287,.349,.637,55,94,,0,7,,1,97H,roettwa01
230,Charlie Root,30,CHC,43,105,96,8,15,3,4,1,15,0,0,4,28,.156,.190,.302,.492,20,29,,0,5,,0,1,rootch01
231,Luther Roy,26,TOT,23,40,33,2,9,0,0,0,4,0,0,7,6,.273,.400,.273,.673,66,9,,0,0,,0,1,roylu01
232,Ben Sankey,21,PIT,2,8,7,1,1,0,0,0,0,0,0,0,1,.143,.143,.143,.286,-30,1,,0,1,,0,/6,sankebe01
233,Ray Schalk,36,NYG,5,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,0,/2,schalra01
234,Johnny Schulte*,32,CHC,31,78,69,6,18,3,0,0,9,0,1,7,11,.261,.329,.304,.633,58,21,,0,2,,0,2/H,schuljo04
235,Jack Scott*,37,NYG,30,30,26,6,8,3,0,0,1,0,0,2,0,.308,.379,.423,.802,99,11,,1,0,,0,1,scottja01
236,Socks Seibold,33,BSN,33,78,70,6,20,2,0,0,9,0,0,6,6,.286,.342,.314,.656,67,22,,0,2,,0,1,seiboso01
237,Bill Sherdel*,32,STL,33,78,70,5,16,1,1,1,8,0,0,2,4,.229,.250,.314,.564,37,22,,0,6,,0,1,sherdbi01
238,Tripp Sigman*,30,PHI,10,32,29,8,15,1,0,2,9,0,0,3,1,.517,.563,.759,1.321,217,22,,0,0,,1,/87H,sigmatr01
239,Earl Smith*,32,STL,57,164,145,9,50,8,0,1,22,0,1,18,6,.345,.417,.421,.838,106,61,,0,1,,1,2/H,smithea02
240,Jack Smith*,34,BSN,19,24,20,2,5,0,0,0,2,0,0,2,2,.250,.318,.250,.568,46,5,,0,2,,0,H/897,smithja03
241,Harry Smythe*,24,PHI,20,27,26,3,5,1,0,0,2,0,0,1,3,.192,.222,.231,.453,10,6,,0,0,,0,1/H,smythha01
242,Billy Southworth*,36,STL,19,34,32,1,6,2,0,0,3,0,0,2,4,.188,.235,.250,.485,19,8,,0,0,,0,H/9,southbi01
243,Jim Stroner,28,PIT,6,9,8,0,3,1,0,0,0,0,0,1,0,.375,.444,.500,.944,131,4,,0,0,,0,/H5,stronji01
244,George Susce,21,PHI,17,19,17,5,5,3,0,1,1,0,0,1,2,.294,.368,.647,1.015,140,11,,1,0,,0,2/H,suscege01
245,Les Sweetland,27,PHI,53,94,89,14,26,2,0,0,12,0,0,3,18,.292,.323,.315,.637,55,28,,1,1,,0,1H,sweetle01
246,Steve Swetonic,25,PIT,42,52,48,11,13,3,1,0,2,0,0,2,6,.271,.314,.375,.689,68,18,,1,1,,0,1/H,swetost01
247,Danny Taylor,28,CHC,2,4,3,0,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,-32,0,,0,0,,0,/H9,tayloda01
248,Zack Taylor,30,TOT,98,352,316,37,84,23,3,1,41,0,0,26,27,.266,.326,.367,.693,72,116,,2,8,,1,2/H,tayloza02
249,Jim Tennant,22,NYG,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/1,tennaji01
250,Charles Tolson,30,CHC,32,123,109,13,28,5,0,1,19,0,1,9,16,.257,.325,.330,.655,63,36,,2,3,,0,3/H,tolsoch01
251,Clay Touchstone,26,BSN,1,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,408,1,,0,0,,0,/1,touchcl01
252,Dazzy Vance,38,BRO,31,82,74,4,10,3,0,0,1,0,0,5,21,.135,.200,.176,.376,-5,13,,1,2,,0,1,vanceda01
253,Pat Veltman,23,NYG,2,3,1,1,0,0,0,0,0,0,0,2,0,.000,.667,.000,.667,81,0,,0,0,,0,/2H,veltmpa01
254,Phil Voyles*,29,BSN,20,79,68,9,16,0,2,0,14,0,1,6,8,.235,.297,.294,.591,50,20,,0,5,,0,8/H,voyleph01
255,Johnny Werts,31,BSN,4,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,408,1,,0,0,,0,/1,wertsjo01
256,Max West,24,BRO,5,10,8,1,2,1,0,0,1,0,0,1,0,.250,.333,.375,.708,77,3,,0,1,,0,/H87,westma01
257,Al Weston,23,BSN,3,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,,0,0,,0,/H,westoal01
258,Cy Williams*,41,PHI,66,89,65,11,19,2,0,5,21,0,2,22,9,.292,.471,.554,1.025,147,36,,0,2,,1,H/879,willicy01
259,Claude Willoughby,30,PHI,49,98,91,6,13,1,0,0,5,0,0,6,25,.143,.196,.154,.350,-14,14,,0,1,,0,1,willocl01
260,Bill Windle*,24,PIT,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,0,/3H,windlbi01
261,Ivey Wingo*,38,CIN,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,/2,wingoiv01
262,Glenn Wright,28,BRO,24,30,25,4,5,0,0,1,6,0,0,3,6,.200,.286,.320,.606,51,8,,0,2,,0,H/6,wrighgl01
263,Paul Zahniser,32,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/1,zahnipa01
