Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB▼,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
280,Elliot Bigelow*,31,BOS,AL,100,241,211,23,60,16,0,1,26,1,4,23,18,.284,.357,.374,.732,91,79,,1,5,,2,9H/78,bigelel01
281,Max Bishop*,29,PHA,AL,129,617,475,102,110,19,6,3,36,1,4,128,44,.232,.398,.316,.713,83,150,,3,10,,0,*4,bishoma01
282,Clarence Blair*,28,CHC,NL,26,77,72,10,23,5,0,1,8,1,1,3,4,.319,.347,.431,.777,91,31,,0,2,,0,H/534,blairfo01
283,Joe Boley,32,PHA,AL,91,336,303,36,76,17,6,2,47,1,0,24,16,.251,.310,.366,.676,71,111,,2,7,,3,6/H5,boleyjo01
284,Lloyd Brown*,24,WSH,AL,40,62,50,8,11,1,1,0,4,1,0,9,13,.220,.350,.280,.630,63,14,,1,2,,0,1,brownll01
285,George Burns,36,TOT,AL,38,61,58,5,13,5,0,1,11,1,0,2,7,.224,.250,.362,.612,54,21,,0,1,,0,H3,burnsge02
286,Guy Bush,27,CHC,NL,50,104,91,5,15,0,0,0,3,1,0,3,19,.165,.191,.165,.356,-11,15,,0,10,,0,1,bushgu01
287,Samuel Byrd,21,NYY,AL,62,202,170,32,53,12,0,5,28,1,4,28,18,.312,.409,.471,.880,132,80,,0,4,,0,98H/7,byrdsa01
288,Johnny Cooney,28,BSN,NL,41,76,72,10,23,4,1,0,6,1,0,3,3,.319,.355,.403,.758,91,29,,1,0,,0,1H8/79,coonejo01
289,Army Cooper*,29,KCM,NNL,27,61,52,8,12,0,1,0,5,1,,5,,.231,.298,.269,.567,49,14,,0,4,,,1,coopear01
290,Willie Cornelius,22,MRS,NNL,9,30,25,4,7,0,0,0,3,1,,4,,.280,.379,.280,.659,75,7,,0,1,,,/1749,cornewi01
291,Pat Crawford*,27,NYG,NL,65,76,57,13,17,3,0,3,24,1,0,11,5,.298,.412,.509,.921,127,29,,0,7,,2,H/35,crawfpa01
292,Albert Davis?,--,DS,NNL,26,74,68,6,19,2,0,1,5,1,,3,,.279,.310,.353,.663,72,24,,0,3,,,1,davisal02
293,Virgil Davis,24,PHI,NL,98,289,263,31,90,18,0,7,48,1,0,19,17,.342,.391,.490,.881,112,129,,2,5,,3,2H,davissp01
294,Hank DeBerry,34,BRO,NL,68,234,210,13,55,11,1,1,25,1,0,17,15,.262,.317,.338,.655,64,71,,0,7,,3,2/H,deberha01
295,Pete Donohue,28,CIN,NL,32,66,60,1,20,0,0,0,13,1,0,1,5,.333,.355,.333,.688,75,20,,1,4,,0,1,donohpe01
296,Louis English?,27,DS,NNL,12,42,37,4,8,0,2,0,2,1,,4,,.216,.293,.324,.617,61,12,,0,1,,,2/43,englilo01
297,Rick Ferrell,23,SLB,AL,64,181,144,21,33,6,1,0,20,1,2,32,10,.229,.373,.285,.658,70,41,,1,4,,0,2H,ferreri01
298,Wes Ferrell,21,CLE,AL,47,102,93,12,22,5,3,1,12,1,0,6,28,.237,.283,.387,.670,69,36,,0,3,,0,1/H,ferrewe01
299,Bill Foster#,25,CAG,NNL,27,58,51,9,11,1,0,0,2,1,,6,,.216,.298,.235,.534,41,12,,0,1,,,1/83,fostebi99
300,Larry French,21,PIT,NL,30,45,42,4,8,1,0,0,8,1,0,2,12,.190,.227,.214,.442,9,9,,0,1,,0,1,frencla01
301,Bernie Friberg,29,PHI,NL,128,518,455,74,137,21,10,7,55,1,1,49,54,.301,.370,.437,.808,95,199,,1,13,,3,687H/493,fribebe01
302,Alex Gaston,36,BOS,AL,55,127,116,14,26,5,2,2,9,1,0,6,8,.224,.262,.353,.616,59,41,,0,5,,1,2/H,gastoal01
303,Joe Genewich,32,NYG,NL,25,33,32,7,12,0,0,0,2,1,0,0,5,.375,.375,.375,.750,87,12,,0,0,,0,1/H,genewjo01
304,Wally Gerber,37,BOS,AL,61,105,91,6,15,3,1,0,5,1,0,8,12,.165,.232,.220,.452,18,20,,0,6,,0,64H,gerbewa01
305,Mike González,38,CHC,NL,60,189,167,15,40,3,0,0,18,1,0,18,14,.240,.317,.257,.575,44,43,,1,3,,0,2,gonzami01
306,Johnny Grabowski,29,NYY,AL,22,64,59,4,12,1,0,0,2,1,0,3,6,.203,.242,.220,.462,23,13,,0,2,,0,2,grabojo01
307,Jesse Haines,35,STL,NL,28,73,69,5,11,0,0,1,3,1,0,1,22,.159,.171,.203,.374,-9,14,,0,3,,0,1,haineje01
308,Charlie Hargreaves,32,PIT,NL,102,352,328,33,88,12,5,1,44,1,1,16,12,.268,.306,.345,.651,59,113,,2,6,,1,2/H,hargrch01
309,Bucky Harris,32,DET,AL,7,14,11,3,1,0,0,0,0,1,0,2,2,.091,.231,.091,.322,-14,1,,0,1,,0,/4H6,harribu01
310,Spence Harris*,28,WSH,AL,6,16,14,1,3,1,0,0,1,1,0,0,3,.214,.214,.286,.500,27,4,,0,1,,0,/8H,harrisp01
311,Gabby Hartnett,28,CHC,NL,25,29,22,2,6,2,1,1,9,1,0,5,5,.273,.407,.591,.998,144,13,,0,1,,2,H/2,hartnga01
312,Rollie Hemsley,22,PIT,NL,88,257,235,31,68,13,7,0,37,1,0,11,22,.289,.321,.404,.725,76,95,,0,9,,1,2H,hemslro01
313,Charlie Henry?,29,DS,NNL,22,54,52,5,14,2,1,0,3,1,,1,,.269,.283,.346,.629,63,18,,0,1,,,1,henrych01
314,Dutch Henry*,27,TOT,MLB,29,43,35,4,8,0,0,0,3,1,0,7,5,.229,.357,.229,.586,50,8,,0,1,,0,1,henrydu01
315,Johnnie Heving,33,BOS,AL,76,200,188,26,60,4,3,0,23,1,2,8,7,.319,.354,.372,.726,89,70,,2,2,,1,2H,hevinjo01
316,Shanty Hogan,23,NYG,NL,102,353,317,19,95,13,0,5,45,1,2,25,22,.300,.362,.388,.750,86,123,,6,5,,8,2/H,hogansh01
317,Wattie Holm,27,STL,NL,64,196,176,21,41,5,6,0,14,1,0,12,8,.233,.282,.330,.611,49,58,,0,8,,1,9H/875,holmwa01
318,Frog Holsey?,23,CAG,NNL,23,52,47,4,12,1,0,0,2,1,,1,,.255,.271,.277,.547,43,13,,0,4,,,1,holsefr01
319,Willis Hudlin,23,CLE,AL,40,107,97,5,19,3,0,0,4,1,0,1,18,.196,.212,.227,.439,12,22,,1,8,,0,1,hudliwi01
320,Dick Jackson?,32,HIL,ANL,73,274,248,26,61,9,5,1,26,1,,14,,.246,.286,.335,.621,51,83,,0,12,,,*4,jacksdi01
321,Harry Jeffries,--,CAG,NNL,52,185,165,19,37,3,0,2,18,1,,12,,.224,.277,.279,.556,45,46,,0,8,,,52/79,jeffrha01
322,Cobe Jones#,23,PIT,NL,25,64,63,6,16,5,1,0,4,1,0,1,5,.254,.266,.365,.631,53,23,,0,0,,0,6H,jonesco02
323,Sad Sam Jones,36,WSH,AL,28,64,51,6,8,1,1,0,3,1,0,8,15,.157,.283,.216,.499,30,11,,1,3,,0,1/H,jonessa01
324,Willie Jones?,26,AC,ANL,44,154,145,14,37,8,1,0,16,1,,8,,.255,.294,.324,.618,50,47,,0,1,,,2/97,joneswi03
325,Mark Koenig#,24,NYY,AL,116,400,373,44,109,27,5,3,41,1,1,23,17,.292,.335,.416,.751,97,155,,1,3,,3,65H/4,koenima01
326,Néstor Lambertus?,22,CSE,ANL,23,83,72,13,22,3,0,0,6,1,,8,,.306,.375,.347,.722,77,25,,0,3,,,8/735,lambene01
327,Script Lee,30,BBS,ANL,26,71,65,9,14,0,3,1,7,1,,3,,.215,.250,.354,.604,46,23,,0,3,,,1/9857,leesc01
328,Clarence Lindsay#,31,AC,ANL,61,266,226,34,58,11,4,2,37,1,,25,,.257,.333,.367,.701,71,83,,1,14,,,56/1,lindscl01
329,Red Lucas*,27,CIN,NL,76,155,140,15,41,6,0,0,13,1,1,13,15,.293,.353,.336,.689,75,47,,0,2,,1,H1,lucasre01
330,Clyde Manion,32,SLB,AL,35,128,111,16,27,2,0,0,11,1,0,15,3,.243,.333,.261,.595,53,29,,0,2,,0,2/H,maniocl01
331,Charlie Mason?,34,TOT,ANL,37,154,136,22,30,3,5,2,15,1,,12,,.221,.284,.360,.644,56,49,,0,6,,,79/18,masonch02
332,J.C. McHaskell?,26,MRS,NNL,55,233,213,21,50,4,0,0,16,1,,11,,.235,.272,.254,.526,38,54,,0,9,,,*3,mchasjc01
333,Eric McNair,20,PHA,AL,4,8,8,2,4,1,0,0,3,1,0,0,0,.500,.500,.625,1.125,183,5,,0,0,,0,/6H,mcnaier01
334,Clarence Mitchell*,38,STL,NL,26,76,66,9,18,3,1,0,9,1,0,4,6,.273,.314,.348,.663,62,23,,0,6,,0,1/H,mitchcl01
335,Johnny Mostil,33,CHW,AL,12,42,35,4,8,3,0,0,3,1,1,6,2,.229,.341,.314,.656,71,11,,0,1,,0,8/H9,mostijo01
336,Mitchell Murray,33,CAG,NNL,31,92,83,8,17,5,0,0,5,1,,4,,.205,.241,.265,.506,32,22,,0,5,,,2,murrami02
337,Dewitt Owens?,28,MRS,NNL,62,249,232,24,51,3,0,0,16,1,,11,,.220,.255,.233,.488,28,54,,0,6,,,64,owensde01
338,Oscar Owens,35,HG,ANL,27,87,75,19,29,2,0,0,10,1,,10,,.387,.465,.413,.878,115,31,,1,1,,,/78193,owensos01
339,Ben Paschal,33,NYY,AL,42,82,72,13,15,3,0,2,11,1,2,6,3,.208,.269,.333,.603,58,24,,0,3,,0,H7/98,paschbe01
340,Homer Peel,26,PHI,NL,53,175,156,16,42,12,1,0,19,1,2,12,7,.269,.329,.359,.688,67,56,,2,5,,0,8H/793,peelho01
341,Diamond Pipkins*,21,BBB,NNL,17,28,28,4,12,3,0,0,4,1,,0,,.429,.429,.536,.964,150,15,,0,0,,,1,pipkidi01
342,Malvin Powell,21,CAG,NNL,40,148,133,12,28,5,2,0,10,1,,7,,.211,.250,.278,.528,37,37,,0,8,,,9/187,powelme01
343,Cheo Ramos,28,CSE,ANL,49,207,178,30,51,7,2,1,21,1,,20,,.287,.362,.365,.727,77,65,,1,8,,,7/89,ramosch02
344,Buck Redfern,27,CHW,AL,21,49,46,0,6,0,0,0,3,1,1,3,3,.130,.184,.130,.314,-17,6,,0,0,,0,4/56H,redfebu01
345,Nolen Richardson,26,DET,AL,13,24,21,2,4,0,0,0,2,1,1,2,1,.190,.261,.190,.451,18,4,,0,1,,0,6,richano01
