"","Player","doubles","triples","home_runs","singles"
"124","Leon Day",0.0459418070444104,0.0153139356814701,0.00918836140888208,0.218989280245023
"125","Esteban Montalvo",0.0446927374301676,0.017877094972067,0.0290502793296089,0.150837988826816
"126","Clarence Smith",0.0407391852162957,0.0226795464090718,0.0125997480050399,0.220495590088198
"127","Candy Jim Taylor",0.038961038961039,0.00742115027829314,0.0241187384044527,0.192022263450835
"128","Walter Cannady",0.0503634475597092,0.0145379023883697,0.0155763239875389,0.208203530633437
"129","Art Pennington",0.022964509394572,0.0146137787056367,0.0125260960334029,0.183716075156576
"130","Jules Thomas",0.0417827298050139,0.0167130919220056,0.0250696378830084,0.183844011142061
"131","Jimmie Lyons",0.0350877192982456,0.0140350877192982,0.0140350877192982,0.2
"132","Parnell Woods",0.0345268542199488,0.0217391304347826,0.0051150895140665,0.209718670076726
"133","Leonard Henderson",0.0247933884297521,0,0.0165289256198347,0.231404958677686
"134","Otto Ray",0.0493273542600897,0.0284005979073244,0.00747384155455904,0.170403587443946
"135","Sam Warmack",0.0572519083969466,0.0267175572519084,0.00763358778625954,0.190839694656489
"136","Wade Johnston",0.037212449255751,0.0186062246278755,0.0145466847090663,0.196887686062246
"137","Henry Spearman",0.053388090349076,0.0130047912388775,0.0157426420260096,0.190965092402464
"138","Bill Gatewood",0.0346320346320346,0.00865800865800866,0.0216450216450216,0.16017316017316
"139","Charlie Biot",0.0516717325227964,0.0212765957446809,0.0121580547112462,0.17629179331307
"140","Ed Mayweather",0.0421052631578947,0.0228070175438597,0.012280701754386,0.166666666666667
"141","Ernest Duff",0.0509433962264151,0.0113207547169811,0.00754716981132075,0.235849056603774
"142","Chaney White",0.0389408099688473,0.0159657320872274,0.0101246105919003,0.220794392523364
"143","Fats Jenkins",0.036016007114273,0.00933748332592263,0.00711427301022677,0.237883503779458
"144","Mitchell Murray",0.0455764075067024,0.00750670241286863,0.0155495978552279,0.194101876675603
"145","Eugene Bremer",0.0599078341013825,0.0230414746543779,0,0.179723502304147
"146","Lyman Bostock",0.0347593582887701,0.018716577540107,0,0.219251336898396
"147","L.D. Livingston",0.0354609929078014,0.0312056737588652,0.0212765957446809,0.156028368794326
"148","Tommy Sampson",0.0197461212976023,0.0155148095909732,0.00282087447108604,0.241184767277856
"149","Eli Chism",0.0588235294117647,0.0392156862745098,0,0.166666666666667
"150","Emery Adams",0.0471976401179941,0.0147492625368732,0,0.238938053097345
"151","Fred Bell",0.0274725274725275,0.0247252747252747,0.032967032967033,0.151098901098901
